dataset_id,row_id,latitude,longitude,sp_code,scientific,common,tsn,count,series_id,obs_date,date_time,last_mod,provider,owner,oceano,depth,ds_type,platform
1049,1049_9143,32.18,-124.37,013,Stenella coeruleoalba,Striped Dolphin,180434,18,,2001-11-19,2001-11-19 13:40:13,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1800,""CHL_Y"":0.1600,""SSH_D"":62.56,""SST_D"":17.700,""SST_M"":17.700,""SST_Y"":16.500,""BATH"":-4249,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1049,1049_9145,32.12,-123.99,078,Cetacea,cetaceans,180403,1,,2001-11-19,2001-11-19 15:38:01,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1300,""CHL_Y"":0.1500,""SSH_D"":60.57,""SST_D"":-9999,""SST_M"":18.000,""SST_Y"":16.575,""BATH"":-4189,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1049,1049_9146,32.1,-123.94,017,Delphinus delphis,Short-beaked Common Dolphin,180438,30,,2001-11-19,2001-11-19 15:53:19,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1300,""CHL_Y"":0.1500,""SSH_D"":60.57,""SST_D"":-9999,""SST_M"":18.300,""SST_Y"":16.575,""BATH"":-4163,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1049,1049_9147,32.05,-123.92,017,Delphinus delphis,Short-beaked Common Dolphin,180438,10,,2001-11-19,2001-11-19 16:11:49,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1500,""CHL_Y"":0.1500,""SSH_D"":60.57,""SST_D"":-9999,""SST_M"":17.925,""SST_Y"":16.575,""BATH"":-4171,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1049,1049_9148,32.01,-123.89,017,Delphinus delphis,Short-beaked Common Dolphin,180438,162,,2001-11-19,2001-11-19 16:35:44,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1500,""CHL_Y"":0.1500,""SSH_D"":60.57,""SST_D"":-9999,""SST_M"":18.225,""SST_Y"":16.275,""BATH"":-4220,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1049,1049_9205,30.41,-123.74,017,Delphinus delphis,Short-beaked Common Dolphin,180438,19,,2001-12-02,2001-12-02 16:15:44,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.1400,""CHL_M"":0.1400,""CHL_Y"":0.0900,""SSH_D"":62.66,""SST_D"":15.975,""SST_M"":15.975,""SST_Y"":17.175,""BATH"":-4158,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1049,1049_9135,33.84,-125.98,UT,Cheloniidae,Sea Turtles,173828,,,2001-11-18,2001-11-18 08:38:40,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.2100,""CHL_Y"":0.2000,""SSH_D"":61.70,""SST_D"":-9999,""SST_M"":16.950,""SST_Y"":15.975,""BATH"":-4963,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1049,1049_9137,32.81,-126.3,013,Stenella coeruleoalba,Striped Dolphin,180434,187,,2001-11-18,2001-11-18 15:44:44,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1200,""CHL_Y"":0.1400,""SSH_D"":64.79,""SST_D"":18.225,""SST_M"":18.000,""SST_Y"":16.425,""BATH"":-4468,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1049,1049_9138,32.81,-126.3,017,Delphinus delphis,Short-beaked Common Dolphin,180438,543,,2001-11-18,2001-11-18 15:44:44,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1200,""CHL_Y"":0.1400,""SSH_D"":64.79,""SST_D"":18.225,""SST_M"":18.000,""SST_Y"":16.425,""BATH"":-4468,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1049,1049_9139,32.78,-126.32,046,Physeter macrocephalus,Sperm Whale,180488,3,,2001-11-18,2001-11-18 15:56:40,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1200,""CHL_Y"":0.1400,""SSH_D"":64.79,""SST_D"":18.450,""SST_M"":18.075,""SST_Y"":16.725,""BATH"":-4500,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
