dataset_id,row_id,latitude,longitude,sp_code,scientific,common,tsn,count,series_id,obs_date,date_time,last_mod,provider,owner,oceano,depth,ds_type,platform
1065,1065_18862,37.22,-126.68,MA,Mirounga angustirostris,Northern Elephant Seal,180672,1,,10/20/08,10/20/08 8:56,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.7100,""CHL_M"":0.4900,""CHL_Y"":0.4500,""SSH_D"":52.56,""SST_D"":15.825,""SST_M"":16.050,""SST_Y"":15.150,""BATH"":-4666,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18863,37.22,-126.69,MA,Mirounga angustirostris,Northern Elephant Seal,180672,1,,10/20/08,10/20/08 9:00,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.7100,""CHL_M"":0.4900,""CHL_Y"":0.4500,""SSH_D"":52.56,""SST_D"":15.825,""SST_M"":16.050,""SST_Y"":15.150,""BATH"":-4666,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18864,37.23,-126.74,177,Cetacea,cetaceans,180403,155,,10/20/08,10/20/08 9:16,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.7100,""CHL_M"":0.4900,""CHL_Y"":0.4500,""SSH_D"":50.61,""SST_D"":15.675,""SST_M"":16.275,""SST_Y"":14.700,""BATH"":-4564,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18865,37.24,-126.79,CU,Callorhinus ursinus,Northern Fur Seal,180627,1,,10/20/08,10/20/08 9:30,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.5500,""CHL_M"":0.4200,""CHL_Y"":0.4300,""SSH_D"":50.61,""SST_D"":15.525,""SST_M"":16.350,""SST_Y"":14.550,""BATH"":-4585,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18866,37.28,-126.98,MA,Mirounga angustirostris,Northern Elephant Seal,180672,1,,10/20/08,10/20/08 10:24,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4600,""CHL_M"":0.4000,""CHL_Y"":0.3900,""SSH_D"":49.25,""SST_D"":15.600,""SST_M"":15.375,""SST_Y"":14.775,""BATH"":-4596,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18867,37.32,-127.17,MA,Mirounga angustirostris,Northern Elephant Seal,180672,1,,10/20/08,10/20/08 11:19,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4100,""CHL_M"":0.4000,""CHL_Y"":0.3700,""SSH_D"":51.01,""SST_D"":15.375,""SST_M"":15.975,""SST_Y"":15.300,""BATH"":-4638,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18868,37.38,-127.41,MA,Mirounga angustirostris,Northern Elephant Seal,180672,1,,10/20/08,10/20/08 12:30,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4900,""CHL_M"":0.4300,""CHL_Y"":0.3700,""SSH_D"":51.01,""SST_D"":15.375,""SST_M"":15.675,""SST_Y"":16.050,""BATH"":-4750,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18618,35.17,-125.83,70,Balaenoptera,baleen whales,180523,2,,9/27/08,9/27/08 12:58,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.1000,""CHL_M"":0.1600,""CHL_Y"":0.2500,""SSH_D"":71.32,""SST_D"":-9999,""SST_M"":17.925,""SST_Y"":15.750,""BATH"":-4649,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18619,35.09,-125.67,49,Ziphius,goose-beaked whales,180497,1,,9/27/08,9/27/08 14:37,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1500,""CHL_Y"":0.2400,""SSH_D"":70.58,""SST_D"":17.925,""SST_M"":18.075,""SST_Y"":15.450,""BATH"":-4660,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18688,34.49,-125.7,CU,Callorhinus ursinus,Northern Fur Seal,180627,1,,10/2/08,10/2/08 8:54,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4900,""CHL_M"":0.4700,""CHL_Y"":0.3000,""SSH_D"":55.23,""SST_D"":16.200,""SST_M"":16.425,""SST_Y"":16.050,""BATH"":-4800,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18689,34.51,-125.7,CU,Callorhinus ursinus,Northern Fur Seal,180627,2,,10/2/08,10/2/08 9:02,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4400,""CHL_M"":0.3900,""CHL_Y"":0.2800,""SSH_D"":55.23,""SST_D"":16.350,""SST_M"":16.425,""SST_Y"":16.050,""BATH"":-4654,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18690,34.53,-125.69,CU,Callorhinus ursinus,Northern Fur Seal,180627,1,,10/2/08,10/2/08 9:10,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4400,""CHL_M"":0.3900,""CHL_Y"":0.2800,""SSH_D"":55.23,""SST_D"":16.350,""SST_M"":16.425,""SST_Y"":16.050,""BATH"":-4639,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1065,1065_18691,34.55,-125.69,UA,Otariidae,eared seals,180615,1,,10/2/08,10/2/08 9:14,11/26/13 12:19,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4400,""CHL_M"":0.3900,""CHL_Y"":0.2800,""SSH_D"":55.23,""SST_D"":16.200,""SST_M"":16.425,""SST_Y"":16.200,""BATH"":-4654,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
