dataset_id,row_id,latitude,longitude,sp_code,scientific,common,tsn,count,series_id,date_time,last_mod,provider,owner,oceano,depth,ds_type
219,219_307,32.2,-118.32,Fin whale,Balaenoptera physalus,fin whale,180527,3,,8/14/96 17:37,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.68,""SST_D"":21.075,""SST_M"":21.000,""SST_Y"":17.025,""BATH"":-1834,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_306,32.2,-118.41,"Offshore common dolphin, short-beaked common dolphin",Delphinus delphis,common dolphin,180438,512,,8/14/96 16:51,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":52.08,""SST_D"":21.075,""SST_M"":21.000,""SST_Y"":16.800,""BATH"":-1440,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_959,32.38,-118.41,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 10:04,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":58.93,""SST_D"":18.000,""SST_M"":17.325,""SST_Y"":16.425,""BATH"":-820,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_961,32.45,-118.27,"Offshore common dolphin, short-beaked common dolphin",Delphinus delphis,common dolphin,180438,102,,10/14/96 10:55,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":57.77,""SST_D"":17.850,""SST_M"":16.950,""SST_Y"":16.425,""BATH"":-1307,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_960,32.41,-118.35,Stellar sea lion,Eumetopias jubatus,Steller's sea lion,180625,1,,10/14/96 10:23,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":57.77,""SST_D"":18.150,""SST_M"":17.700,""SST_Y"":16.425,""BATH"":-1003,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_305,32.23,-118.55,Fin whale,Balaenoptera physalus,fin whale,180527,1,,8/14/96 15:27,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":52.08,""SST_D"":20.475,""SST_M"":20.475,""SST_Y"":16.500,""BATH"":-1637,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_304,32.26,-118.74,"Offshore common dolphin, short-beaked common dolphin",Delphinus delphis,common dolphin,180438,153,,8/14/96 14:22,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":51.71,""SST_D"":19.800,""SST_M"":19.350,""SST_Y"":16.575,""BATH"":-1583,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_303,32.27,-118.76,Unidentified sea lion,Otariidae,eared seals,180615,1,,8/14/96 14:15,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":51.71,""SST_D"":19.875,""SST_M"":19.125,""SST_Y"":16.575,""BATH"":-1438,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_302,32.27,-118.82,Blue whale,Balaenoptera musculus,blue whale,180528,1,,8/14/96 13:50,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":51.71,""SST_D"":19.650,""SST_M"":19.275,""SST_Y"":16.425,""BATH"":-1335,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_301,32.27,-118.82,California sea lion,Zalophus californianus,California sea lion,180621,1,,8/14/96 13:49,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":51.71,""SST_D"":19.650,""SST_M"":19.275,""SST_Y"":16.425,""BATH"":-1335,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_300,32.27,-118.83,Unidentified pinniped,Caniformia,,552303,1,,8/14/96 13:46,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":51.71,""SST_D"":19.575,""SST_M"":19.350,""SST_Y"":16.500,""BATH"":-1335,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_299,32.28,-118.86,California sea lion,Zalophus californianus,California sea lion,180621,1,,8/14/96 13:36,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":51.71,""SST_D"":19.575,""SST_M"":19.350,""SST_Y"":16.500,""BATH"":-1020,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_298,32.24,-118.92,Fin whale,Balaenoptera physalus,fin whale,180527,2,,8/14/96 11:30,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":54.85,""SST_D"":19.800,""SST_M"":19.275,""SST_Y"":16.425,""BATH"":-1120,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_296,32.26,-118.95,"Bottlenose dolphin, black porpoise, common porpoise",Tursiops truncatus,bottlenose dolphin,180426,12,,8/14/96 11:19,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":54.85,""SST_D"":19.725,""SST_M"":19.500,""SST_Y"":16.200,""BATH"":-1049,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_297,32.26,-118.95,"Short-finned pilot whale, blackfish, pothead",Globicephala macrorhynchus,short-finned pilot whale,180466,60,,8/14/96 11:19,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":54.85,""SST_D"":19.725,""SST_M"":19.500,""SST_Y"":16.200,""BATH"":-1049,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_295,32.26,-118.96,California sea lion,Zalophus californianus,California sea lion,180621,1,,8/14/96 11:18,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":54.85,""SST_D"":19.725,""SST_M"":19.500,""SST_Y"":16.200,""BATH"":-1083,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_973,32.7,-118.02,Unidentified dolphin or porpoise,Cetacea,cetaceans,180403,25,,10/14/96 14:29,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":19.125,""SST_M"":18.750,""SST_Y"":17.625,""BATH"":-371,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_974,32.7,-118.03,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 14:31,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":19.125,""SST_M"":18.750,""SST_Y"":17.625,""BATH"":-440,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_975,32.71,-118.06,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 14:42,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":19.200,""SST_M"":18.525,""SST_Y"":17.475,""BATH"":-513,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_976,32.71,-118.07,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 14:43,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":19.200,""SST_M"":18.525,""SST_Y"":17.475,""BATH"":-513,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_977,32.71,-118.07,California sea lion,Zalophus californianus,California sea lion,180621,1,,10/14/96 14:45,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":19.200,""SST_M"":18.525,""SST_Y"":17.475,""BATH"":-513,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_979,32.71,-118.08,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 14:49,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":19.200,""SST_M"":18.525,""SST_Y"":17.475,""BATH"":-553,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
