dataset_id,row_id,latitude,longitude,sp_code,scientific,common,tsn,count,series_id,obs_date,date_time,last_mod,provider,owner,oceano,depth,ds_type,platform
1047,1047_8754,41.29,-125.11,044,Phocoenoides dalli,Dall's Porpoise,180480,1,,2001-08-06,2001-08-06 12:13:44,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4200,""CHL_M"":0.3800,""CHL_Y"":0.8400,""SSH_D"":47.34,""SST_D"":-9999,""SST_M"":12.375,""SST_Y"":11.325,""BATH"":-3090,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8753,41.28,-125.12,044,Phocoenoides dalli,Dall's Porpoise,180480,2,,2001-08-06,2001-08-06 12:09:15,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4200,""CHL_M"":0.3800,""CHL_Y"":0.8400,""SSH_D"":47.34,""SST_D"":-9999,""SST_M"":12.375,""SST_Y"":11.625,""BATH"":-3090,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8752,41.26,-125.12,044,Phocoenoides dalli,Dall's Porpoise,180480,1,,2001-08-06,2001-08-06 12:03:37,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4200,""CHL_M"":0.3800,""CHL_Y"":0.8400,""SSH_D"":47.34,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":11.550,""BATH"":-3089,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8751,41.2,-125.15,044,Phocoenoides dalli,Dall's Porpoise,180480,3,,2001-08-06,2001-08-06 11:42:03,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4500,""CHL_M"":0.4000,""CHL_Y"":0.7600,""SSH_D"":47.34,""SST_D"":-9999,""SST_M"":14.925,""SST_Y"":11.850,""BATH"":-3097,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8750,41.18,-125.17,044,Phocoenoides dalli,Dall's Porpoise,180480,1,,2001-08-06,2001-08-06 11:31:24,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4400,""CHL_M"":0.3600,""CHL_Y"":0.7100,""SSH_D"":46.63,""SST_D"":-9999,""SST_M"":14.925,""SST_Y"":11.850,""BATH"":-3053,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8749,41.17,-125.17,044,Phocoenoides dalli,Dall's Porpoise,180480,1,,2001-08-06,2001-08-06 11:28:15,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4400,""CHL_M"":0.3600,""CHL_Y"":0.7100,""SSH_D"":46.63,""SST_D"":-9999,""SST_M"":14.625,""SST_Y"":11.850,""BATH"":-3039,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8747,41.07,-125.2,044,Phocoenoides dalli,Dall's Porpoise,180480,1,,2001-08-06,2001-08-06 10:41:57,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.5000,""CHL_M"":0.3700,""CHL_Y"":0.5700,""SSH_D"":46.63,""SST_D"":-9999,""SST_M"":14.475,""SST_Y"":12.075,""BATH"":-3050,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8746,40.95,-125.24,044,Phocoenoides dalli,Dall's Porpoise,180480,2,,2001-08-06,2001-08-06 09:58:21,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4900,""CHL_M"":0.3500,""CHL_Y"":0.5800,""SSH_D"":45.26,""SST_D"":-9999,""SST_M"":14.400,""SST_Y"":11.850,""BATH"":-2960,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8745,40.95,-125.24,044,Phocoenoides dalli,Dall's Porpoise,180480,2,,2001-08-06,2001-08-06 09:56:25,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4900,""CHL_M"":0.3500,""CHL_Y"":0.5800,""SSH_D"":45.26,""SST_D"":-9999,""SST_M"":14.400,""SST_Y"":11.850,""BATH"":-2960,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8744,40.95,-125.24,044,Phocoenoides dalli,Dall's Porpoise,180480,1,,2001-08-06,2001-08-06 09:56:14,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.4900,""CHL_M"":0.3500,""CHL_Y"":0.5800,""SSH_D"":45.26,""SST_D"":-9999,""SST_M"":14.400,""SST_Y"":11.850,""BATH"":-2960,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8743,40.92,-125.25,044,Phocoenoides dalli,Dall's Porpoise,180480,4,,2001-08-06,2001-08-06 09:44:49,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""SSH_D"":46.37,""SST_D"":-9999,""SST_M"":14.475,""SST_Y"":11.850,""BATH"":-3001,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8742,40.9,-125.26,044,Phocoenoides dalli,Dall's Porpoise,180480,3,,2001-08-06,2001-08-06 09:37:29,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.5100,""CHL_M"":0.3800,""CHL_Y"":0.6600,""SSH_D"":46.37,""SST_D"":-9999,""SST_M"":14.625,""SST_Y"":11.925,""BATH"":-2910,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":25057",,ptobs,boat
1047,1047_8853,39.02,-128.33,078,Cetacea,cetaceans,180403,1,,2001-09-13,2001-09-13 16:22:42,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.3300,""CHL_M"":0.2400,""CHL_Y"":0.2600,""SSH_D"":63.31,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":15.075,""BATH"":-4367,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_9085,38.86,-127.67,UH,Cheloniidae,Sea Turtles,173828,1,,2001-11-04,2001-11-04 11:13:59,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.2000,""CHL_M"":0.1900,""CHL_Y"":0.2800,""SSH_D"":63.74,""SST_D"":-9999,""SST_M"":15.525,""SST_Y"":14.400,""BATH"":-4323,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8857,39.0,-128.22,074,Balaenoptera physalus,Fin Whale,180527,2,,2001-09-13,2001-09-13 17:51:14,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""SSH_D"":63.31,""SST_D"":-9999,""SST_M"":15.825,""SST_Y"":14.475,""BATH"":-4393,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
